t(s), y(m), v(m/s), a(m/s^2)
0,-9.8e-06,-0.0098,-9.8
0.1,-0.0499787281926,-0.975098911216,-9.51032342366
0.2,-0.195029491895,-1.91186471185,-9.22920934925
0.3,-0.432351582884,-2.82094080738,-8.95640467919
0.4,-0.759217568284,-3.70314567322,-8.69166379717
0.5,-1.17298063496,-4.55927359159,-8.43474834703
0.6,-1.67107220647,-5.39009536667,-8.1854270181
0.7,-2.25099963053,-6.19635901855,-7.94347533704
0.8,-2.91034393472,-6.97879045672,-7.70867546562
0.9,-3.64675764864,-7.73809413365,-7.48081600471
1.001,-4.46644490157,-8.48221119289,-7.2575138963
1.102,-5.36014950736,-9.20411638271,-7.04087734839
1.203,-6.32566205048,-9.90447272667,-6.83070739422
1.304,-7.36083906641,-10.5839234571,-6.62681100617
1.405,-8.46360107294,-11.2430926059,-6.42900091851
1.506,-9.63193066037,-11.8825855776,-6.23709545537
1.607,-10.8638706386,-12.5029897053,-6.05091836391
1.708,-12.1575222395,-13.1048747906,-5.87029865242
1.809,-13.5110433734,-13.6887936261,-5.69507043331
1.91,-14.9226469365,-14.2552825038,-5.52507277069
2.011,-16.3905991703,-14.8048617074,-5.36014953264
2.112,-17.913218069,-15.3380359901,-5.20014924774
2.213,-19.4888718342,-15.8552950382,-5.04492496602
2.314,-21.1159773772,-16.357113921,-4.89433412393
2.415,-22.7929988639,-16.8439535269,-4.74823841346
2.516,-24.5184463052,-17.3162609867,-4.60650365508
2.617,-26.2908741879,-17.7744700846,-4.46899967451
2.718,-28.1088801475,-18.2190016563,-4.33560018318
2.819,-29.9711036797,-18.6502639753,-4.20618266222
2.92,-31.8762248916,-19.0686531284,-4.08062824994
3.021,-33.8229632889,-19.4745533793,-3.95882163269
3.122,-35.8100766,-19.8683375213,-3.8406509389
3.223,-37.8363596349,-20.2503672197,-3.72600763638
3.324,-39.9006431789,-20.6209933443,-3.61478643263
3.425,-42.0017929178,-20.9805562915,-3.50688517809
3.526,-44.1387083972,-21.3293862967,-3.40220477241
3.627,-46.3103220107,-21.6678037379,-3.30064907335
3.728,-48.5155980203,-21.9961194297,-3.20212480852
3.829,-50.7535316046,-22.3146349091,-3.10654148972
3.93,-53.0231479359,-22.623642712,-3.01381132979
4.03,-55.3005778589,-22.9205027932,-2.92472658002
4.13,-57.6072484668,-23.2085880364,-2.83827507161
4.23,-59.9422954392,-23.4881578156,-2.75437896901
4.33,-62.3048800037,-23.759463838,-2.67296273741
4.43,-64.6941881814,-24.0227503707,-2.59395307471
4.53,-67.1094300532,-24.2782544604,-2.51727884554
4.63,-69.5498390495,-24.526206147,-2.44287101721
4.73,-72.0146712594,-24.7668286708,-2.37066259755
4.83,-74.5032047612,-25.0003386732,-2.3005885746
4.93,-77.0147389722,-25.2269463923,-2.23258585808
5.03,-79.5485940184,-25.4468558512,-2.1665932226
5.13,-82.1041101219,-25.6602650429,-2.10255125249
5.23,-84.680647007,-25.8673661077,-2.04040228837
5.33,-87.277583324,-26.0683455064,-1.98009037518
5.43,-89.8943160895,-26.2633841884,-1.92156121184
5.53,-92.5302601435,-26.4526577543,-1.86476210235
5.63,-95.1848476226,-26.6363366142,-1.80964190832
5.73,-97.8575274491,-26.8145861411,-1.75615100297
5.83,-100.547764834,-26.9875668198,-1.70424122643
5.93,-103.255040797,-27.1554343913,-1.65386584238
6.03,-105.978851697,-27.318339993,-1.60497949595
6.13,-108.71870878,-27.476430295,-1.55753817295
6.23,-111.474137741,-27.629847632,-1.51149916015
6.33,-114.244678292,-27.7787301314,-1.4668210069
6.43,-117.029883753,-27.9232118376,-1.42346348778
6.53,-119.829320646,-28.063422833,-1.38138756638
6.63,-122.642568307,-28.1994893548,-1.34055536017
6.73,-125.469218504,-28.3315339088,-1.30093010638
6.83,-128.308875076,-28.4596753798,-1.26247612891
6.93,-131.161153568,-28.5840291382,-1.22515880618
7.03,-134.025680892,-28.7047071445,-1.18894454001
7.13,-136.902094986,-28.8218180496,-1.15380072534
7.23,-139.790044491,-28.9354672929,-1.11969572086
7.33,-142.689188434,-29.045757197,-1.08659882056
7.43,-145.59919592,-29.1527870601,-1.05448022605
7.53,-148.519745836,-29.2566532452,-1.02331101975
7.63,-151.450526559,-29.3574492669,-0.993063138862
7.73,-154.39123568,-29.4552658758,-0.963709350071
7.83,-157.341579725,-29.5501911397,-0.935223225059
7.93,-160.301273899,-29.6423105235,-0.907579116697
8.03,-163.270041822,-29.7317069656,-0.880752135954
8.131,-166.277434599,-29.8193154149,-0.854461714052
8.232,-169.293541793,-29.9043087548,-0.828956060367
8.333,-172.318103277,-29.9867650464,-0.804211749594
8.434,-175.350866692,-30.0667600205,-0.780206055673
8.535,-178.39158721,-30.1443671472,-0.756916930916
8.636,-181.440027312,-30.2196577038,-0.734322985756
8.737,-184.495956568,-30.2927008398,-0.712403469106
